user_id,age,gender,occupation,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_duration_hours,sleep_quality_score,stress_level,caffeine_intake_cups,physical_activity_minutes,notifications_received_per_day,mental_fatigue_score,screen_time_bin,age_group,screen_to_sleep_ratio,pre_sleep_phone_pct,notif_per_screen_hour,digital_load_hours,stress_fatigue_index,wellness_score,sleep_deficit_hours,is_heavy_user,phone_before_sleep_flag,short_sleeper,high_stress_flag,sedentary_flag,log_daily_screen_time_hours,log_phone_usage_before_sleep_minutes,log_notifications_received_per_day,log_physical_activity_minutes,screen_x_caffeine,presleep_x_stress,activity_x_sleep_quality,screen_time_sq,presleep_phone_sq,notifications_sq,gender_encoded,occ_Doctor,occ_Freelancer,occ_Manager,occ_Researcher,occ_Software Engineer,occ_Student,occ_Teacher
11,41,Male,Designer,5.69,65,7.4,5.78,7.9,1,13,86,7.91,4-6h,36-45 ans,0.7689,14.64,15.11,6.773,7.905,-1.903,0.6,0,1,0,1,1,1.9006,4.1897,4.4659,2.6391,5.69,513.5,75.14,32.3761,4225,7396,0.0,False,False,False,False,False,False,False
12,53,Female,Designer,2.03,88,8.6,5.79,5.23,0,91,294,3.37,2-4h,46-55 ans,0.236,17.05,144.83,3.497,4.3,2.077,0.0,0,1,0,0,0,1.1086,4.4886,5.687,4.5218,0.0,460.24,526.89,4.1209,7744,86436,1.0,False,False,False,False,False,False,False
13,57,Male,Designer,2.79,3,7.41,10.0,1.87,3,111,203,1.57,2-4h,>55 ans,0.3765,0.67,72.76,2.84,1.72,9.98,0.59,0,0,0,0,0,1.3324,1.3863,5.3181,4.7185,8.37,5.61,1110.0,7.7841,9,41209,0.0,False,False,False,False,False,False,False
14,41,Male,Student,4.67,82,4.23,4.66,7.93,4,43,286,9.04,4-6h,36-45 ans,1.104,32.31,61.24,6.037,8.485,-2.553,3.77,0,1,1,1,0,1.7352,4.4188,5.6595,3.7842,18.68,650.26,200.38,21.8089,6724,81796,0.0,False,False,False,False,False,True,False
15,20,Male,Designer,5.9,76,6.53,5.36,8.09,4,105,104,8.29,4-6h,≤25 ans,0.9035,19.4,17.63,7.167,8.19,-0.98,1.47,0,1,0,1,0,1.9315,4.3438,4.654,4.6634,23.6,614.84,562.8,34.81,5776,10816,0.0,False,False,False,False,False,False,False
16,39,Female,Manager,2.64,82,7.63,7.14,5.35,2,24,80,5.84,2-4h,36-45 ans,0.346,17.91,30.3,4.007,5.595,2.19,0.37,0,1,0,0,1,1.292,4.4188,4.3944,3.2189,5.28,438.7,171.36,6.9696,6724,6400,1.0,False,False,True,False,False,False,False
17,19,Male,Freelancer,3.5,76,4.22,8.25,4.36,4,63,206,4.57,2-4h,≤25 ans,0.8294,30.02,58.86,4.767,4.465,4.94,3.78,0,1,1,0,0,1.5041,4.3438,5.3327,4.1589,14.0,331.36,519.75,12.25,5776,42436,0.0,False,True,False,False,False,False,False
18,41,Female,Manager,8.05,54,7.81,6.23,6.99,0,1,104,5.75,> 8h,36-45 ans,1.0307,11.52,12.92,8.95,6.37,-0.743,0.19,1,1,0,0,1,2.2028,4.0073,4.654,0.6931,0.0,377.46,6.23,64.8025,2916,10816,1.0,False,False,True,False,False,False,False
19,47,Male,Freelancer,4.76,11,5.41,6.82,7.48,3,37,131,5.57,4-6h,46-55 ans,0.8799,3.39,27.52,4.943,6.525,-0.043,2.59,0,0,1,1,0,1.7509,2.4849,4.8828,3.6376,14.28,82.28,252.34,22.6576,121,17161,0.0,False,True,False,False,False,False,False
20,55,Male,Teacher,1.09,65,6.94,8.61,2.94,3,77,209,1.97,< 2h,46-55 ans,0.1571,15.61,191.74,2.173,2.455,6.953,1.06,0,1,0,0,0,0.7372,4.1897,5.3471,4.3567,3.27,191.1,662.97,1.1881,4225,43681,0.0,False,False,False,False,False,False,True
21,19,Male,Doctor,1.49,36,8.83,7.93,2.64,3,5,143,1.88,< 2h,≤25 ans,0.1687,6.8,95.97,2.09,2.26,5.373,0.0,0,1,0,0,1,0.9123,3.6109,4.9698,1.7918,4.47,95.04,39.65,2.2201,1296,20449,0.0,True,False,False,False,False,False,False
22,38,Female,Freelancer,4.95,113,8.95,4.85,8.99,0,47,148,9.36,4-6h,36-45 ans,0.5531,21.04,29.9,6.833,9.175,-3.357,0.0,0,1,0,1,0,1.7834,4.7362,5.0039,3.8712,0.0,1015.87,227.95,24.5025,12769,21904,1.0,False,True,False,False,False,False,False
23,50,Female,Software Engineer,1.54,22,7.17,9.57,1.0,1,87,249,1.0,< 2h,46-55 ans,0.2148,5.11,161.69,1.907,1.0,10.02,0.83,0,0,0,0,0,0.9322,3.1355,5.5215,4.4773,1.54,22.0,832.59,2.3716,484,62001,1.0,False,False,False,False,True,False,False
24,29,Male,Researcher,2.57,54,6.46,6.38,4.73,2,99,45,3.29,2-4h,26-35 ans,0.3978,13.93,17.51,3.47,4.01,3.3,1.54,0,1,0,0,0,1.2726,4.0073,3.8286,4.6052,5.14,255.42,631.62,6.6049,2916,2025,0.0,False,False,False,True,False,False,False
25,39,Female,Designer,7.55,18,4.89,6.15,8.95,4,80,136,9.25,6-8h,36-45 ans,1.544,6.13,18.01,7.85,9.1,-1.467,3.11,1,0,1,1,0,2.1459,2.9444,4.92,4.3944,30.2,161.1,492.0,57.0025,324,18496,1.0,False,False,False,False,False,False,False
26,42,Female,Student,5.32,66,5.04,5.6,6.95,2,27,88,6.83,4-6h,36-45 ans,1.0556,21.83,16.54,6.42,6.89,-0.9,2.96,0,1,1,0,1,1.8437,4.2047,4.4886,3.3322,10.64,458.7,151.2,28.3024,4356,7744,1.0,False,False,False,False,False,True,False
27,44,Male,Freelancer,5.34,87,6.15,3.71,10.0,2,109,262,8.86,4-6h,36-45 ans,0.8683,23.58,49.06,6.79,9.43,-4.473,1.85,0,1,0,1,0,1.8469,4.4773,5.5722,4.7005,10.68,870.0,404.39,28.5156,7569,68644,0.0,False,True,False,False,False,False,False
28,59,Female,Student,6.38,22,7.51,6.23,7.26,3,98,67,8.9,6-8h,>55 ans,0.8495,4.88,10.5,6.747,8.08,0.603,0.49,1,0,0,1,0,1.9988,3.1355,4.2195,4.5951,19.14,159.72,610.54,40.7044,484,4489,1.0,False,False,False,False,False,True,False
29,45,Male,Designer,8.1,3,7.85,6.87,9.62,4,65,232,8.74,> 8h,36-45 ans,1.0318,0.64,28.64,8.15,9.18,-1.667,0.15,1,0,0,1,0,2.2083,1.3863,5.451,4.1897,32.4,28.86,446.55,65.61,9,53824,0.0,False,False,False,False,False,False,False
30,33,Female,Doctor,2.43,17,5.11,8.77,1.0,2,38,240,1.53,2-4h,26-35 ans,0.4755,5.54,98.77,2.713,1.265,8.403,2.89,0,0,1,0,0,1.2326,2.8904,5.4848,3.6636,4.86,17.0,333.26,5.9049,289,57600,1.0,True,False,False,False,False,False,False
31,32,Female,Manager,2.56,11,6.68,7.34,4.48,3,84,285,4.71,2-4h,26-35 ans,0.3832,2.74,111.33,2.743,4.595,4.26,1.32,0,0,0,0,0,1.2698,2.4849,5.656,4.4427,7.68,49.28,616.56,6.5536,121,81225,1.0,False,False,True,False,False,False,False
32,20,Male,Designer,2.09,34,6.96,8.54,4.18,0,40,287,4.27,2-4h,≤25 ans,0.3003,8.14,137.32,2.657,4.225,5.027,1.04,0,1,0,0,0,1.1282,3.5553,5.663,3.7136,0.0,142.12,341.6,4.3681,1156,82369,0.0,False,False,False,False,False,False,False
33,54,Male,Student,9.43,26,8.47,3.12,10.0,3,115,136,9.7,> 8h,46-55 ans,1.1133,5.12,14.42,9.863,9.85,-4.963,0.0,1,0,0,1,0,2.3447,3.2958,4.92,4.7536,28.29,260.0,358.8,88.9249,676,18496,0.0,False,False,False,False,False,True,False
34,24,Other,Software Engineer,6.2,42,8.38,8.36,5.59,3,2,148,7.25,6-8h,≤25 ans,0.7399,8.35,23.87,6.9,6.42,2.803,0.0,1,1,0,0,1,1.9741,3.7612,5.0039,1.0986,18.6,234.78,16.72,38.44,1764,21904,,False,False,False,False,True,False,False
35,38,Female,Doctor,1.83,77,8.09,7.94,2.37,0,70,106,1.45,< 2h,36-45 ans,0.2262,15.86,57.92,3.113,1.91,6.737,0.0,0,1,0,0,0,1.0403,4.3567,4.6728,4.2627,0.0,182.49,555.8,3.3489,5929,11236,1.0,True,False,False,False,False,False,False
36,26,Female,Researcher,2.99,94,6.58,7.57,4.56,4,1,265,4.96,2-4h,26-35 ans,0.4544,23.81,88.63,4.557,4.76,3.027,1.42,0,1,0,0,1,1.3838,4.5539,5.5835,0.6931,11.96,428.64,7.57,8.9401,8836,70225,1.0,False,False,False,True,False,False,False
37,56,Male,Designer,7.53,66,4.33,6.57,8.33,4,48,103,9.11,6-8h,>55 ans,1.739,25.4,13.68,8.63,8.72,-0.96,3.67,1,1,1,1,0,2.1436,4.2047,4.6444,3.8918,30.12,549.78,315.36,56.7009,4356,10609,0.0,False,False,False,False,False,False,False
38,35,Male,Freelancer,1.26,68,5.67,8.39,1.5,4,109,97,1.0,< 2h,26-35 ans,0.2222,19.99,76.98,2.393,1.25,8.707,2.33,0,1,1,0,0,0.8154,4.2341,4.585,4.7005,5.04,102.0,914.51,1.5876,4624,9409,0.0,False,True,False,False,False,False,False
39,21,Male,Software Engineer,7.53,63,7.11,5.33,10.0,1,34,291,10.0,6-8h,≤25 ans,1.0591,14.77,38.65,8.58,10.0,-4.103,0.89,1,1,0,1,0,2.1436,4.1589,5.6768,3.5553,7.53,630.0,181.22,56.7009,3969,84681,0.0,False,False,False,False,True,False,False
40,42,Male,Researcher,9.2,92,7.19,2.99,10.0,2,34,32,8.11,> 8h,36-45 ans,1.2796,21.33,3.48,10.733,9.055,-6.443,0.81,1,1,0,1,0,2.3224,4.5326,3.4965,3.5553,18.4,920.0,101.66,84.64,8464,1024,0.0,False,False,False,True,False,False,False
41,31,Female,Designer,1.51,102,8.25,5.44,7.76,3,48,44,8.22,< 2h,26-35 ans,0.183,20.61,29.14,3.21,7.99,-1.52,0.0,0,1,0,1,0,0.9203,4.6347,3.8067,3.8918,4.53,791.52,261.12,2.2801,10404,1936,1.0,False,False,False,False,False,False,False
42,26,Female,Doctor,2.68,51,5.9,7.08,3.92,1,61,153,3.39,2-4h,26-35 ans,0.4542,14.41,57.09,3.53,3.655,4.177,2.1,0,1,1,0,0,1.3029,3.9512,5.037,4.1271,2.68,199.92,431.88,7.1824,2601,23409,1.0,True,False,False,False,False,False,False
43,43,Female,Student,1.09,16,8.68,9.37,1.0,2,15,36,1.0,< 2h,36-45 ans,0.1256,3.07,33.03,1.357,1.0,8.62,0.0,0,0,0,0,1,0.7372,2.8332,3.6109,2.7726,2.18,16.0,140.55,1.1881,256,1296,1.0,False,False,False,False,False,True,False
44,19,Male,Manager,1.98,82,4.82,7.73,1.91,3,64,227,1.31,< 2h,≤25 ans,0.4108,28.35,114.65,3.347,1.61,6.887,3.18,0,1,1,0,0,1.0919,4.4188,5.4293,4.1744,5.94,156.62,494.72,3.9204,6724,51529,0.0,False,False,True,False,False,False,False
45,37,Female,Freelancer,6.55,98,4.25,5.36,6.51,4,1,145,9.02,6-8h,36-45 ans,1.5412,38.43,22.14,8.183,7.765,-1.133,3.75,1,1,1,0,1,2.0215,4.5951,4.9836,0.6931,26.2,637.98,5.36,42.9025,9604,21025,1.0,False,True,False,False,False,False,False
46,45,Female,Manager,1.4,32,4.88,7.55,4.85,0,1,272,4.72,< 2h,36-45 ans,0.2869,10.93,194.29,1.933,4.785,2.717,3.12,0,1,1,0,1,0.8755,3.4965,5.6095,0.6931,0.0,155.2,7.55,1.96,1024,73984,1.0,False,False,True,False,False,False,False
47,24,Female,Doctor,4.83,71,6.31,5.72,6.43,1,66,83,5.68,4-6h,≤25 ans,0.7655,18.75,17.18,6.013,6.055,0.39,1.69,0,1,0,0,0,1.763,4.2767,4.4308,4.2047,4.83,456.53,377.52,23.3289,5041,6889,1.0,True,False,False,False,False,False,False
48,25,Female,Researcher,5.53,51,8.11,7.31,6.43,0,58,170,6.44,4-6h,≤25 ans,0.6819,10.48,30.74,6.38,6.435,1.847,0.0,0,1,0,0,0,1.8764,3.9512,5.1417,4.0775,0.0,327.93,423.98,30.5809,2601,28900,1.0,False,False,False,True,False,False,False
49,52,Other,Researcher,9.16,100,4.77,3.95,10.0,4,41,297,8.9,> 8h,46-55 ans,1.9203,34.94,32.42,10.827,9.45,-5.367,3.23,1,1,1,1,0,2.3185,4.6151,5.6971,3.7377,36.64,1000.0,161.95,83.9056,10000,88209,,False,False,False,True,False,False,False
50,31,Female,Teacher,5.27,34,6.74,5.41,9.21,2,98,113,8.57,4-6h,26-35 ans,0.7819,8.41,21.44,5.837,8.89,-2.167,1.26,0,1,0,1,0,1.8358,3.5553,4.7362,4.5951,10.54,313.14,530.18,27.7729,1156,12769,1.0,False,False,False,False,False,False,True
51,34,Male,Manager,2.28,19,7.88,9.68,1.53,0,31,157,2.08,2-4h,26-35 ans,0.2893,4.02,68.86,2.597,1.805,8.667,0.12,0,0,0,0,0,1.1878,2.9957,5.0626,3.4657,0.0,29.07,300.08,5.1984,361,24649,0.0,False,False,True,False,False,False,False
52,53,Male,Designer,3.6,80,4.17,8.47,4.19,0,15,91,4.41,2-4h,46-55 ans,0.8633,31.97,25.28,4.933,4.3,4.53,3.83,0,1,1,0,1,1.5261,4.3944,4.5218,2.7726,0.0,335.2,127.05,12.96,6400,8281,0.0,False,False,False,False,False,False,False
53,57,Other,Software Engineer,7.05,44,4.21,4.78,9.74,2,108,226,10.0,6-8h,>55 ans,1.6746,17.42,32.06,7.783,9.87,-3.16,3.79,1,1,1,1,0,2.0857,3.8067,5.425,4.6913,14.1,428.56,516.24,49.7025,1936,51076,,False,False,False,False,True,False,False
54,21,Female,Software Engineer,2.01,76,6.45,7.69,4.65,1,48,293,5.48,2-4h,≤25 ans,0.3116,19.64,145.77,3.277,5.065,3.84,1.55,0,1,0,0,0,1.1019,4.3438,5.6836,3.8918,2.01,353.4,369.12,4.0401,5776,85849,1.0,False,False,False,False,True,False,False
55,19,Male,Freelancer,3.09,67,4.91,7.12,6.38,1,52,274,5.57,2-4h,≤25 ans,0.6293,22.74,88.67,4.207,5.975,1.607,3.09,0,1,1,0,0,1.4085,4.2195,5.6168,3.9703,3.09,427.46,370.24,9.5481,4489,75076,0.0,False,True,False,False,False,False,False
56,23,Male,Manager,9.92,49,6.25,3.07,10.0,3,65,297,8.86,> 8h,≤25 ans,1.5872,13.07,29.94,10.737,9.43,-5.847,1.75,1,1,0,1,0,2.3906,3.912,5.6971,4.1897,29.76,490.0,199.55,98.4064,2401,88209,0.0,False,False,True,False,False,False,False
57,59,Female,Doctor,1.09,57,4.22,8.49,3.0,3,36,297,3.65,< 2h,>55 ans,0.2583,22.51,272.48,2.04,3.325,6.09,3.78,0,1,1,0,0,0.7372,4.0604,5.6971,3.6109,3.27,171.0,305.64,1.1881,3249,88209,1.0,True,False,False,False,False,False,False
58,21,Other,Freelancer,2.37,29,8.88,8.71,2.43,4,52,59,1.72,2-4h,≤25 ans,0.2669,5.44,24.89,2.853,2.075,7.147,0.0,0,0,0,0,0,1.2149,3.4012,4.0943,3.9703,9.48,70.47,452.92,5.6169,841,3481,,False,True,False,False,False,False,False
59,46,Male,Doctor,8.59,69,7.27,4.77,10.0,2,50,232,10.0,> 8h,46-55 ans,1.1816,15.82,27.01,9.74,10.0,-4.397,0.73,1,1,0,1,0,2.2607,4.2485,5.451,3.9318,17.18,690.0,238.5,73.7881,4761,53824,0.0,True,False,False,False,False,False,False
60,35,Female,Doctor,1.91,1,7.43,10.0,1.0,2,75,234,1.7,< 2h,26-35 ans,0.2571,0.22,122.51,1.927,1.35,10.25,0.57,0,0,0,0,0,1.0682,0.6931,5.4596,4.3307,3.82,1.0,750.0,3.6481,1,54756,1.0,True,False,False,False,False,False,False
61,43,Female,Software Engineer,1.3,78,6.55,7.06,3.94,3,65,244,3.39,< 2h,36-45 ans,0.1985,19.85,187.69,2.6,3.665,4.203,1.45,0,1,0,0,0,0.8329,4.3694,5.5013,4.1897,3.9,307.32,458.9,1.69,6084,59536,1.0,False,False,False,False,True,False,False
62,51,Male,Student,2.09,33,8.12,7.27,3.83,1,87,29,3.83,2-4h,46-55 ans,0.2574,6.77,13.88,2.64,3.83,4.89,0.0,0,1,0,0,0,1.1282,3.5264,3.4012,4.4773,2.09,126.39,632.49,4.3681,1089,841,0.0,False,False,False,False,False,True,False
63,27,Male,Software Engineer,7.24,51,8.17,6.62,9.1,1,1,114,8.88,6-8h,26-35 ans,0.8862,10.4,15.75,8.09,8.99,-2.463,0.0,1,1,0,1,1,2.109,3.9512,4.7449,0.6931,7.24,464.1,6.62,52.4176,2601,12996,0.0,False,False,False,False,True,False,False
64,53,Female,Student,9.92,83,4.8,4.61,10.0,3,1,240,8.95,> 8h,46-55 ans,2.0667,28.82,24.19,11.303,9.475,-5.373,3.2,1,1,1,1,1,2.3906,4.4308,5.4848,0.6931,29.76,830.0,4.61,98.4064,6889,57600,1.0,False,False,False,False,False,True,False
65,31,Female,Freelancer,6.32,15,7.84,4.45,9.38,2,28,172,10.0,6-8h,26-35 ans,0.8061,3.19,27.22,6.57,9.69,-4.463,0.16,1,0,0,1,1,1.9906,2.7726,5.1533,3.3673,12.64,140.7,124.6,39.9424,225,29584,1.0,False,True,False,False,False,False,False
66,48,Female,Freelancer,2.12,42,6.83,7.36,4.44,0,65,151,4.97,2-4h,46-55 ans,0.3104,10.25,71.23,2.82,4.705,4.003,1.17,0,1,0,0,0,1.1378,3.7612,5.0239,4.1897,0.0,186.48,478.4,4.4944,1764,22801,1.0,False,True,False,False,False,False,False
67,32,Female,Freelancer,2.65,63,7.81,5.83,6.45,0,14,293,7.11,2-4h,26-35 ans,0.3393,13.44,110.57,3.7,6.78,-0.387,0.19,0,1,0,0,1,1.2947,4.1589,5.6836,2.7081,0.0,406.35,81.62,7.0225,3969,85849,1.0,False,True,False,False,False,False,False
68,25,Male,Doctor,5.84,112,8.59,6.22,6.97,4,105,112,7.96,4-6h,≤25 ans,0.6799,21.73,19.18,7.707,7.465,1.0,0.0,0,1,0,0,0,1.9228,4.7274,4.7274,4.6634,23.36,780.64,653.1,34.1056,12544,12544,0.0,True,False,False,False,False,False,False
69,31,Female,Researcher,7.44,92,5.68,5.68,9.92,1,101,225,10.0,6-8h,26-35 ans,1.3099,27.0,30.24,8.973,9.96,-2.557,2.32,1,1,1,1,0,2.133,4.5326,5.4205,4.625,7.44,912.64,573.68,55.3536,8464,50625,1.0,False,False,False,True,False,False,False
70,40,Male,Teacher,6.97,26,6.85,6.03,10.0,2,114,293,10.0,6-8h,36-45 ans,1.0175,6.33,42.04,7.403,10.0,-2.07,1.15,1,0,0,1,0,2.0757,3.2958,5.6836,4.7449,13.94,260.0,687.42,48.5809,676,85849,0.0,False,False,False,False,False,False,True
71,57,Male,Software Engineer,6.17,118,7.94,6.07,8.04,1,44,28,8.05,6-8h,>55 ans,0.7771,24.77,4.54,8.137,8.045,-1.237,0.06,1,1,0,1,0,1.9699,4.7791,3.3673,3.8067,6.17,948.72,267.08,38.0689,13924,784,0.0,False,False,False,False,True,False,False
72,38,Male,Researcher,9.88,64,8.93,4.67,10.0,0,84,181,10.0,> 8h,36-45 ans,1.1064,11.94,18.32,10.947,10.0,-3.93,0.0,1,1,0,1,0,2.3869,4.1744,5.204,4.4427,0.0,640.0,392.28,97.6144,4096,32761,0.0,False,False,False,True,False,False,False
73,33,Male,Doctor,2.78,12,7.06,8.78,3.19,2,82,56,4.12,2-4h,26-35 ans,0.3938,2.83,20.14,2.98,3.655,6.957,0.94,0,0,0,0,0,1.3297,2.5649,4.0431,4.4188,5.56,38.28,719.96,7.7284,144,3136,0.0,True,False,False,False,False,False,False
74,35,Female,Software Engineer,2.56,39,7.61,7.56,4.87,3,79,159,5.18,2-4h,26-35 ans,0.3364,8.54,62.11,3.21,5.025,4.007,0.39,0,1,0,0,0,1.2698,3.6889,5.0752,4.382,7.68,189.93,597.24,6.5536,1521,25281,1.0,False,False,False,False,True,False,False
75,41,Female,Doctor,8.73,31,8.23,3.68,10.0,0,70,51,10.0,> 8h,36-45 ans,1.0608,6.28,5.84,9.247,10.0,-5.153,0.0,1,1,0,1,0,2.2752,3.4657,3.9512,4.2627,0.0,310.0,257.6,76.2129,961,2601,1.0,True,False,False,False,False,False,False
76,43,Female,Software Engineer,3.62,66,7.76,6.81,6.02,0,28,129,6.53,2-4h,36-45 ans,0.4665,14.18,35.64,4.72,6.275,1.257,0.24,0,1,0,0,1,1.5304,4.2047,4.8675,3.3673,0.0,397.32,190.68,13.1044,4356,16641,1.0,False,False,False,False,True,False,False
77,42,Male,Designer,3.99,13,8.71,7.77,4.32,2,82,251,3.92,2-4h,36-45 ans,0.4581,2.49,62.91,4.207,4.12,4.817,0.0,0,0,0,0,0,1.6074,2.6391,5.5294,4.4188,7.98,56.16,637.14,15.9201,169,63001,0.0,False,False,False,False,False,False,False
78,58,Female,Software Engineer,5.94,118,5.15,5.61,9.2,1,32,48,8.96,4-6h,>55 ans,1.1534,38.19,8.08,7.907,9.08,-3.057,2.85,0,1,1,1,0,1.9373,4.7791,3.8918,3.4965,5.94,1085.6,179.52,35.2836,13924,2304,1.0,False,False,False,False,True,False,False
79,46,Female,Designer,4.43,118,8.54,6.0,7.39,0,87,89,8.79,4-6h,46-55 ans,0.5187,23.03,20.09,6.397,8.09,0.06,0.0,0,1,0,1,0,1.6919,4.7791,4.4998,4.4773,0.0,872.02,522.0,19.6249,13924,7921,1.0,False,False,False,False,False,False,False
80,32,Female,Researcher,3.59,57,5.04,7.2,5.67,4,50,276,5.69,2-4h,26-35 ans,0.7123,18.85,76.88,4.54,5.68,2.363,2.96,0,1,1,0,0,1.5239,4.0604,5.624,3.9318,14.36,323.19,360.0,12.8881,3249,76176,1.0,False,False,False,True,False,False,False
81,18,Female,Student,9.25,91,6.83,4.13,10.0,0,112,166,10.0,> 8h,≤25 ans,1.3543,22.21,17.95,10.767,10.0,-4.003,1.17,1,1,0,1,0,2.3273,4.5218,5.118,4.7274,0.0,910.0,462.56,85.5625,8281,27556,1.0,False,False,False,False,False,True,False
82,42,Male,Software Engineer,2.16,45,6.61,7.16,4.26,1,82,276,3.81,2-4h,36-45 ans,0.3268,11.35,127.78,2.91,4.035,4.267,1.39,0,1,0,0,0,1.1506,3.8286,5.624,4.4188,2.16,191.7,587.12,4.6656,2025,76176,0.0,False,False,False,False,True,False,False
83,24,Male,Student,4.64,89,8.16,5.68,7.51,3,4,113,8.48,4-6h,≤25 ans,0.5686,18.18,24.35,6.123,7.995,-1.763,0.0,0,1,0,1,1,1.7299,4.4998,4.7362,1.6094,13.92,668.39,22.72,21.5296,7921,12769,0.0,False,False,False,False,False,True,False
84,26,Male,Teacher,1.09,84,5.99,8.91,2.71,0,36,228,2.9,< 2h,26-35 ans,0.182,23.37,209.17,2.49,2.805,6.8,2.01,0,1,1,0,0,0.7372,4.4427,5.4337,3.6109,0.0,227.64,320.76,1.1881,7056,51984,0.0,False,False,False,False,False,False,True
85,41,Female,Manager,8.27,109,4.72,3.61,10.0,2,88,76,10.0,> 8h,36-45 ans,1.7521,38.49,9.19,10.087,10.0,-4.923,3.28,1,1,1,1,0,2.2268,4.7005,4.3438,4.4886,16.54,1090.0,317.68,68.3929,11881,5776,1.0,False,False,True,False,False,False,False
86,18,Other,Manager,2.52,114,7.53,6.58,5.06,1,2,31,3.93,2-4h,≤25 ans,0.3347,25.23,12.3,4.42,4.495,1.553,0.47,0,1,0,0,1,1.2585,4.7449,3.4657,1.0986,2.52,576.84,13.16,6.3504,12996,961,,False,False,True,False,False,False,False
87,25,Male,Designer,7.96,74,7.03,5.31,9.51,0,91,138,10.0,6-8h,≤25 ans,1.1323,17.54,17.34,9.193,9.755,-2.683,0.97,1,1,0,1,0,2.1928,4.3175,4.9345,4.5218,0.0,703.74,483.21,63.3616,5476,19044,0.0,False,False,False,False,False,False,False
